c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
-0.286,-0.249,0.314,-0.313,-0.002,0.038,0.304,-0.003,-0.21,0.102,0.046,-0.533,-0.522,0.048,-0.275,-0.301,-0.666,-0.053,0.045,-0.347,-0.589,0.15,-0.006,-0.385,0.014
-0.312,-0.254,0.289,-0.325,-0.014,0.054,0.278,-0.05,-0.227,0.082,0.101,-0.529,-0.488,0.063,-0.26,-0.278,-0.663,-0.02,0.056,-0.341,-0.578,0.156,-0.039,-0.376,0.006
-0.334,-0.255,0.289,-0.331,-0.027,0.067,0.265,-0.074,-0.235,0.069,0.145,-0.539,-0.465,0.061,-0.249,-0.252,-0.651,-0.005,0.054,-0.327,-0.548,0.16,-0.063,-0.367,0.002
-0.363,-0.257,0.292,-0.342,-0.041,0.09,0.255,-0.094,-0.241,0.055,0.185,-0.541,-0.443,0.061,-0.241,-0.22,-0.635,0.016,0.045,-0.312,-0.518,0.174,-0.084,-0.357,0.004
-0.39,-0.254,0.291,-0.349,-0.056,0.104,0.239,-0.113,-0.244,0.04,0.224,-0.534,-0.419,0.068,-0.236,-0.193,-0.622,0.039,0.035,-0.294,-0.484,0.183,-0.107,-0.335,0.008
-0.415,-0.253,0.288,-0.36,-0.07,0.119,0.227,-0.138,-0.251,0.025,0.259,-0.533,-0.391,0.07,-0.225,-0.165,-0.605,0.054,0.029,-0.278,-0.452,0.193,-0.131,-0.318,0.011
-0.44,-0.253,0.285,-0.367,-0.082,0.139,0.213,-0.158,-0.254,0.008,0.295,-0.529,-0.368,0.071,-0.215,-0.135,-0.584,0.075,0.022,-0.262,-0.411,0.204,-0.155,-0.302,0.013
-0.461,-0.251,0.286,-0.369,-0.095,0.148,0.205,-0.175,-0.258,-0.003,0.331,-0.527,-0.341,0.071,-0.203,-0.108,-0.56,0.091,0.015,-0.246,-0.374,0.213,-0.173,-0.285,0.016
-0.486,-0.248,0.289,-0.377,-0.112,0.159,0.189,-0.191,-0.26,-0.015,0.362,-0.521,-0.315,0.074,-0.192,-0.077,-0.536,0.109,0.005,-0.229,-0.338,0.228,-0.189,-0.261,0.021
-0.508,-0.244,0.286,-0.386,-0.123,0.169,0.179,-0.212,-0.267,-0.029,0.39,-0.508,-0.285,0.072,-0.177,-0.049,-0.511,0.131,-0.008,-0.212,-0.3,0.24,-0.21,-0.244,0.029
-0.525,-0.239,0.283,-0.384,-0.134,0.179,0.164,-0.229,-0.267,-0.044,0.418,-0.497,-0.253,0.074,-0.166,-0.019,-0.486,0.148,-0.016,-0.195,-0.261,0.247,-0.229,-0.22,0.035
-0.543,-0.234,0.277,-0.384,-0.147,0.187,0.148,-0.243,-0.268,-0.058,0.444,-0.488,-0.227,0.075,-0.153,0.011,-0.461,0.167,-0.027,-0.18,-0.216,0.255,-0.246,-0.201,0.037
-0.561,-0.232,0.272,-0.389,-0.157,0.195,0.134,-0.261,-0.266,-0.07,0.465,-0.477,-0.198,0.071,-0.135,0.043,-0.431,0.184,-0.037,-0.163,-0.176,0.267,-0.262,-0.181,0.041
-0.576,-0.23,0.268,-0.388,-0.167,0.199,0.12,-0.275,-0.267,-0.081,0.491,-0.467,-0.165,0.069,-0.123,0.073,-0.397,0.196,-0.044,-0.147,-0.142,0.274,-0.28,-0.163,0.046
-0.588,-0.224,0.261,-0.383,-0.18,0.205,0.101,-0.289,-0.265,-0.092,0.525,-0.452,-0.135,0.069,-0.11,0.103,-0.361,0.218,-0.052,-0.128,-0.103,0.279,-0.297,-0.145,0.049
-0.598,-0.214,0.257,-0.384,-0.191,0.211,0.087,-0.302,-0.262,-0.1,0.549,-0.438,-0.104,0.064,-0.097,0.125,-0.329,0.234,-0.06,-0.108,-0.061,0.285,-0.31,-0.122,0.052
-0.616,-0.207,0.25,-0.386,-0.201,0.213,0.067,-0.315,-0.259,-0.113,0.567,-0.421,-0.074,0.064,-0.084,0.156,-0.3,0.247,-0.069,-0.088,-0.024,0.289,-0.324,-0.1,0.055
-0.627,-0.199,0.24,-0.377,-0.206,0.223,0.048,-0.329,-0.258,-0.124,0.589,-0.405,-0.04,0.067,-0.07,0.181,-0.268,0.263,-0.074,-0.072,0.017,0.295,-0.339,-0.084,0.058
-0.633,-0.19,0.228,-0.369,-0.215,0.23,0.029,-0.336,-0.251,-0.136,0.61,-0.392,-0.011,0.07,-0.061,0.21,-0.236,0.276,-0.075,-0.051,0.051,0.298,-0.348,-0.062,0.057
-0.639,-0.182,0.217,-0.369,-0.226,0.235,0.014,-0.348,-0.245,-0.147,0.628,-0.377,0.019,0.068,-0.048,0.233,-0.204,0.289,-0.083,-0.031,0.09,0.3,-0.36,-0.035,0.057
-0.645,-0.175,0.211,-0.364,-0.233,0.241,-0.005,-0.362,-0.239,-0.155,0.647,-0.356,0.051,0.065,-0.034,0.255,-0.168,0.295,-0.089,-0.007,0.124,0.305,-0.374,-0.013,0.062
-0.654,-0.161,0.201,-0.354,-0.243,0.246,-0.024,-0.37,-0.234,-0.164,0.667,-0.336,0.083,0.066,-0.022,0.275,-0.136,0.308,-0.096,0.011,0.165,0.303,-0.384,0.007,0.064
-0.656,-0.148,0.19,-0.349,-0.25,0.249,-0.041,-0.378,-0.229,-0.174,0.678,-0.317,0.11,0.068,-0.006,0.299,-0.102,0.324,-0.101,0.032,0.207,0.302,-0.393,0.03,0.064
-0.65,-0.141,0.183,-0.339,-0.255,0.256,-0.06,-0.387,-0.221,-0.183,0.685,-0.299,0.14,0.064,0.009,0.316,-0.071,0.334,-0.108,0.047,0.245,0.299,-0.4,0.056,0.066
-0.654,-0.13,0.172,-0.33,-0.259,0.257,-0.078,-0.389,-0.21,-0.192,0.693,-0.275,0.165,0.066,0.025,0.344,-0.039,0.341,-0.113,0.067,0.278,0.302,-0.406,0.073,0.07
-0.647,-0.119,0.162,-0.32,-0.261,0.26,-0.095,-0.393,-0.203,-0.201,0.702,-0.255,0.19,0.066,0.038,0.362,-0.004,0.349,-0.118,0.083,0.311,0.304,-0.411,0.09,0.073
-0.638,-0.11,0.15,-0.309,-0.265,0.253,-0.107,-0.398,-0.195,-0.211,0.71,-0.231,0.217,0.059,0.052,0.385,0.03,0.355,-0.125,0.104,0.343,0.294,-0.416,0.114,0.074
-0.634,-0.1,0.14,-0.298,-0.267,0.252,-0.123,-0.402,-0.184,-0.218,0.709,-0.206,0.243,0.052,0.067,0.406,0.065,0.361,-0.132,0.121,0.378,0.292,-0.425,0.137,0.077
-0.628,-0.09,0.128,-0.286,-0.266,0.247,-0.14,-0.402,-0.175,-0.223,0.71,-0.178,0.272,0.055,0.079,0.426,0.098,0.366,-0.135,0.135,0.412,0.289,-0.427,0.152,0.082
-0.619,-0.077,0.117,-0.278,-0.27,0.248,-0.152,-0.403,-0.169,-0.229,0.71,-0.154,0.297,0.054,0.091,0.438,0.134,0.374,-0.136,0.146,0.441,0.288,-0.424,0.171,0.08
-0.606,-0.069,0.102,-0.263,-0.265,0.245,-0.164,-0.404,-0.157,-0.234,0.706,-0.133,0.319,0.05,0.107,0.457,0.166,0.374,-0.138,0.162,0.466,0.284,-0.421,0.188,0.082
-0.591,-0.059,0.09,-0.249,-0.265,0.245,-0.178,-0.404,-0.145,-0.238,0.7,-0.107,0.342,0.048,0.117,0.468,0.2,0.373,-0.143,0.173,0.491,0.278,-0.42,0.204,0.082
-0.586,-0.045,0.075,-0.236,-0.261,0.243,-0.187,-0.399,-0.132,-0.241,0.691,-0.081,0.361,0.047,0.127,0.481,0.23,0.371,-0.144,0.191,0.515,0.271,-0.414,0.214,0.08
-0.567,-0.035,0.062,-0.221,-0.264,0.238,-0.204,-0.4,-0.119,-0.245,0.68,-0.061,0.386,0.044,0.134,0.493,0.26,0.372,-0.149,0.203,0.537,0.26,-0.41,0.233,0.078
