c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
0.17,-0.249,0.384,0.397,-0.172,-0.644,-0.782,0.777,-0.192,-0.096,0.383,-0.038,-0.794,0.054,-0.254,-0.179,-0.268,0.655,0.028,0.126,-0.377,-0.544,-0.529,0.191,-0.378
0.185,-0.214,0.353,0.38,-0.156,-0.66,-0.78,0.789,-0.182,-0.104,0.428,-0.028,-0.767,0.032,-0.223,-0.197,-0.254,0.626,0.018,0.128,-0.371,-0.521,-0.536,0.182,-0.383
0.189,-0.176,0.305,0.384,-0.158,-0.666,-0.786,0.782,-0.188,-0.098,0.456,-0.008,-0.734,0.012,-0.218,-0.212,-0.241,0.608,0.034,0.122,-0.365,-0.492,-0.547,0.179,-0.377
0.195,-0.146,0.268,0.379,-0.154,-0.664,-0.786,0.783,-0.195,-0.09,0.477,0.011,-0.703,-0.005,-0.217,-0.229,-0.214,0.593,0.028,0.11,-0.354,-0.46,-0.549,0.18,-0.367
0.202,-0.114,0.234,0.375,-0.151,-0.66,-0.785,0.785,-0.202,-0.09,0.493,0.026,-0.672,-0.021,-0.21,-0.23,-0.195,0.57,0.036,0.1,-0.342,-0.426,-0.557,0.183,-0.359
0.217,-0.077,0.194,0.367,-0.149,-0.656,-0.784,0.786,-0.204,-0.089,0.516,0.043,-0.636,-0.038,-0.202,-0.241,-0.171,0.547,0.036,0.09,-0.332,-0.392,-0.568,0.181,-0.349
0.229,-0.042,0.153,0.362,-0.145,-0.65,-0.783,0.784,-0.215,-0.084,0.53,0.063,-0.603,-0.052,-0.196,-0.254,-0.157,0.526,0.043,0.078,-0.32,-0.358,-0.579,0.178,-0.339
0.237,-0.008,0.114,0.354,-0.148,-0.643,-0.777,0.773,-0.217,-0.083,0.544,0.076,-0.567,-0.068,-0.194,-0.262,-0.134,0.504,0.046,0.069,-0.306,-0.322,-0.586,0.179,-0.323
0.254,0.021,0.076,0.348,-0.141,-0.636,-0.77,0.767,-0.22,-0.079,0.558,0.094,-0.531,-0.086,-0.183,-0.271,-0.11,0.475,0.047,0.058,-0.292,-0.288,-0.59,0.179,-0.318
0.267,0.057,0.041,0.335,-0.137,-0.625,-0.757,0.757,-0.223,-0.08,0.573,0.111,-0.49,-0.101,-0.176,-0.28,-0.09,0.446,0.048,0.049,-0.276,-0.246,-0.6,0.18,-0.303
0.282,0.09,0.002,0.325,-0.135,-0.61,-0.739,0.75,-0.229,-0.078,0.585,0.126,-0.447,-0.116,-0.167,-0.282,-0.074,0.419,0.049,0.04,-0.266,-0.208,-0.608,0.178,-0.286
0.296,0.124,-0.036,0.31,-0.134,-0.597,-0.723,0.738,-0.23,-0.078,0.599,0.144,-0.404,-0.13,-0.157,-0.287,-0.058,0.386,0.055,0.029,-0.252,-0.171,-0.616,0.176,-0.271
