c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
0.035,0.119,-0.441,-0.032,0.16,-0.225,0.257,0.317,-0.156,-0.056,-0.213,-0.362,0.302,0.221,-0.064,-0.104,0.286,0.123,0.176,0.21,-0.324,0.607,0.01,-0.294,0.168
0.03,0.122,-0.393,-0.037,0.163,-0.231,0.247,0.309,-0.181,-0.059,-0.227,-0.382,0.272,0.251,-0.082,-0.122,0.244,0.109,0.192,0.197,-0.327,0.565,-0.02,-0.292,0.157
0.036,0.136,-0.373,-0.001,0.166,-0.23,0.24,0.318,-0.202,-0.058,-0.24,-0.398,0.259,0.261,-0.082,-0.124,0.223,0.091,0.221,0.19,-0.328,0.54,-0.048,-0.271,0.155
0.031,0.157,-0.355,0.03,0.168,-0.231,0.229,0.321,-0.231,-0.052,-0.253,-0.421,0.24,0.27,-0.08,-0.133,0.194,0.066,0.241,0.19,-0.325,0.511,-0.075,-0.254,0.156
0.032,0.165,-0.325,0.063,0.172,-0.221,0.217,0.314,-0.253,-0.05,-0.271,-0.432,0.222,0.284,-0.077,-0.142,0.163,0.044,0.258,0.187,-0.315,0.484,-0.11,-0.236,0.151
0.034,0.177,-0.298,0.089,0.176,-0.222,0.208,0.315,-0.273,-0.048,-0.284,-0.451,0.202,0.294,-0.077,-0.152,0.131,0.022,0.277,0.184,-0.31,0.456,-0.141,-0.219,0.15
0.033,0.188,-0.276,0.118,0.174,-0.216,0.195,0.313,-0.294,-0.044,-0.301,-0.467,0.183,0.302,-0.073,-0.16,0.099,-0.006,0.295,0.182,-0.299,0.43,-0.174,-0.195,0.151
0.03,0.195,-0.253,0.15,0.18,-0.216,0.181,0.308,-0.311,-0.039,-0.317,-0.486,0.164,0.304,-0.068,-0.164,0.067,-0.027,0.314,0.176,-0.294,0.404,-0.201,-0.176,0.15
0.028,0.201,-0.226,0.183,0.183,-0.213,0.165,0.299,-0.324,-0.034,-0.327,-0.502,0.143,0.31,-0.061,-0.17,0.037,-0.046,0.324,0.172,-0.284,0.381,-0.231,-0.155,0.149
0.026,0.21,-0.202,0.214,0.186,-0.209,0.148,0.297,-0.34,-0.029,-0.338,-0.518,0.122,0.312,-0.057,-0.184,0.01,-0.068,0.342,0.168,-0.277,0.35,-0.263,-0.133,0.149
0.023,0.21,-0.178,0.241,0.19,-0.205,0.13,0.284,-0.351,-0.025,-0.348,-0.532,0.105,0.317,-0.052,-0.184,-0.021,-0.088,0.352,0.166,-0.268,0.328,-0.291,-0.107,0.15
0.024,0.213,-0.151,0.266,0.192,-0.198,0.114,0.279,-0.361,-0.023,-0.359,-0.539,0.083,0.318,-0.05,-0.189,-0.051,-0.106,0.365,0.157,-0.258,0.298,-0.322,-0.086,0.147
0.021,0.22,-0.129,0.292,0.193,-0.196,0.096,0.273,-0.369,-0.017,-0.368,-0.55,0.06,0.316,-0.046,-0.192,-0.082,-0.121,0.376,0.153,-0.249,0.275,-0.347,-0.063,0.148
