c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
-0.012,-0.128,0.263,0.059,-0.132,-0.054,-0.448,0.054,0.072,-0.148,-0.435,-0.252,-0.129,-0.017,-0.101,-0.278,0.078,-0.049,-0.323,-0.595,0.497,0.34,0.016,-0.032,0.426
-0.026,-0.124,0.265,0.035,-0.117,-0.02,-0.464,0.058,0.073,-0.106,-0.414,-0.272,-0.137,-0.007,-0.112,-0.279,0.033,-0.051,-0.31,-0.639,0.463,0.269,0.03,-0.056,0.41
-0.026,-0.094,0.267,0.024,-0.094,0.001,-0.471,0.06,0.077,-0.092,-0.417,-0.275,-0.144,0.002,-0.127,-0.303,-0.014,-0.045,-0.299,-0.653,0.443,0.232,0.042,-0.051,0.404
-0.04,-0.061,0.268,0.017,-0.065,0.02,-0.481,0.052,0.08,-0.077,-0.42,-0.285,-0.136,0.006,-0.157,-0.333,-0.043,-0.044,-0.287,-0.663,0.429,0.182,0.051,-0.051,0.397
-0.048,-0.025,0.268,0.01,-0.041,0.035,-0.489,0.038,0.087,-0.059,-0.413,-0.287,-0.126,0.015,-0.181,-0.362,-0.073,-0.041,-0.286,-0.657,0.417,0.144,0.051,-0.061,0.386
-0.056,0.006,0.274,-0.002,-0.021,0.056,-0.499,0.033,0.087,-0.037,-0.406,-0.292,-0.12,0.021,-0.203,-0.387,-0.109,-0.04,-0.277,-0.663,0.4,0.1,0.055,-0.062,0.372
-0.062,0.042,0.277,-0.008,-0.002,0.072,-0.502,0.023,0.09,-0.028,-0.401,-0.298,-0.119,0.027,-0.228,-0.411,-0.145,-0.038,-0.27,-0.658,0.392,0.057,0.062,-0.056,0.361
-0.068,0.071,0.278,-0.017,0.024,0.087,-0.506,0.012,0.087,-0.011,-0.395,-0.297,-0.112,0.034,-0.252,-0.435,-0.179,-0.042,-0.262,-0.652,0.377,0.02,0.064,-0.055,0.351
-0.077,0.103,0.283,-0.029,0.046,0.098,-0.509,0.002,0.088,0.008,-0.393,-0.293,-0.105,0.04,-0.279,-0.458,-0.206,-0.049,-0.259,-0.645,0.361,-0.027,0.068,-0.058,0.33
-0.091,0.135,0.289,-0.04,0.068,0.113,-0.515,-0.012,0.086,0.023,-0.388,-0.283,-0.102,0.041,-0.306,-0.48,-0.239,-0.048,-0.25,-0.632,0.344,-0.063,0.07,-0.06,0.315
-0.099,0.167,0.288,-0.051,0.09,0.128,-0.52,-0.016,0.08,0.034,-0.38,-0.268,-0.1,0.044,-0.333,-0.498,-0.276,-0.047,-0.241,-0.616,0.327,-0.101,0.071,-0.058,0.296
-0.105,0.2,0.285,-0.065,0.106,0.143,-0.518,-0.026,0.079,0.055,-0.37,-0.253,-0.092,0.047,-0.348,-0.516,-0.311,-0.051,-0.229,-0.605,0.307,-0.141,0.071,-0.06,0.275
-0.116,0.23,0.283,-0.081,0.127,0.16,-0.518,-0.027,0.076,0.073,-0.365,-0.232,-0.089,0.052,-0.364,-0.532,-0.347,-0.054,-0.213,-0.593,0.284,-0.186,0.077,-0.055,0.251
-0.121,0.263,0.284,-0.092,0.144,0.174,-0.516,-0.027,0.071,0.083,-0.351,-0.211,-0.087,0.054,-0.377,-0.545,-0.381,-0.056,-0.197,-0.58,0.264,-0.224,0.079,-0.049,0.23
-0.13,0.293,0.281,-0.099,0.167,0.19,-0.512,-0.032,0.068,0.095,-0.342,-0.187,-0.087,0.058,-0.39,-0.558,-0.41,-0.054,-0.184,-0.561,0.242,-0.265,0.083,-0.052,0.209
-0.138,0.323,0.282,-0.112,0.186,0.21,-0.506,-0.037,0.059,0.111,-0.333,-0.153,-0.086,0.058,-0.394,-0.572,-0.441,-0.051,-0.171,-0.546,0.215,-0.297,0.082,-0.049,0.186
-0.148,0.354,0.282,-0.125,0.201,0.223,-0.505,-0.038,0.059,0.123,-0.324,-0.119,-0.082,0.065,-0.396,-0.589,-0.469,-0.049,-0.158,-0.532,0.19,-0.336,0.084,-0.051,0.154
-0.158,0.38,0.269,-0.134,0.216,0.235,-0.501,-0.036,0.053,0.132,-0.303,-0.087,-0.073,0.07,-0.391,-0.599,-0.497,-0.039,-0.14,-0.513,0.171,-0.368,0.084,-0.05,0.135
-0.16,0.407,0.266,-0.138,0.232,0.247,-0.487,-0.038,0.052,0.144,-0.286,-0.06,-0.069,0.082,-0.388,-0.611,-0.524,-0.035,-0.123,-0.492,0.149,-0.408,0.082,-0.047,0.114
-0.161,0.433,0.258,-0.147,0.247,0.256,-0.476,-0.048,0.057,0.153,-0.268,-0.031,-0.07,0.088,-0.378,-0.622,-0.544,-0.031,-0.112,-0.473,0.127,-0.443,0.082,-0.049,0.094
-0.172,0.454,0.253,-0.154,0.265,0.266,-0.47,-0.055,0.06,0.163,-0.251,0.004,-0.069,0.097,-0.367,-0.625,-0.566,-0.026,-0.097,-0.448,0.104,-0.473,0.081,-0.045,0.072
-0.174,0.475,0.252,-0.163,0.278,0.274,-0.454,-0.063,0.06,0.17,-0.229,0.026,-0.065,0.102,-0.357,-0.632,-0.585,-0.017,-0.082,-0.429,0.083,-0.5,0.077,-0.038,0.045
-0.184,0.493,0.242,-0.168,0.294,0.286,-0.444,-0.07,0.063,0.185,-0.217,0.055,-0.058,0.104,-0.351,-0.637,-0.599,-0.016,-0.069,-0.405,0.058,-0.531,0.082,-0.038,0.025
-0.186,0.508,0.231,-0.181,0.31,0.287,-0.432,-0.079,0.074,0.194,-0.203,0.084,-0.051,0.107,-0.332,-0.638,-0.614,-0.015,-0.055,-0.385,0.037,-0.556,0.085,-0.035,0.011
-0.187,0.522,0.217,-0.182,0.325,0.287,-0.423,-0.086,0.087,0.197,-0.179,0.11,-0.04,0.108,-0.32,-0.638,-0.626,-0.015,-0.036,-0.355,0.016,-0.581,0.086,-0.035,-0.014
-0.19,0.535,0.207,-0.184,0.337,0.295,-0.403,-0.091,0.094,0.207,-0.161,0.134,-0.032,0.109,-0.309,-0.634,-0.633,-0.009,-0.019,-0.327,-0.006,-0.607,0.089,-0.034,-0.031
-0.19,0.553,0.201,-0.186,0.347,0.303,-0.389,-0.101,0.108,0.214,-0.143,0.158,-0.02,0.106,-0.297,-0.633,-0.646,-0.008,-0.001,-0.297,-0.027,-0.629,0.089,-0.031,-0.051
-0.19,0.564,0.184,-0.189,0.361,0.309,-0.376,-0.111,0.119,0.225,-0.123,0.186,-0.009,0.102,-0.281,-0.627,-0.65,-0.003,0.015,-0.274,-0.051,-0.649,0.092,-0.028,-0.077
-0.19,0.575,0.177,-0.195,0.369,0.317,-0.36,-0.116,0.13,0.235,-0.106,0.213,0.011,0.106,-0.265,-0.622,-0.66,0.003,0.034,-0.245,-0.077,-0.662,0.091,-0.023,-0.1
-0.184,0.582,0.167,-0.197,0.376,0.321,-0.342,-0.117,0.142,0.237,-0.091,0.235,0.022,0.104,-0.251,-0.614,-0.663,0.004,0.049,-0.214,-0.102,-0.681,0.089,-0.024,-0.123
-0.184,0.593,0.153,-0.2,0.378,0.32,-0.326,-0.119,0.155,0.24,-0.074,0.262,0.033,0.1,-0.233,-0.604,-0.666,0.007,0.065,-0.184,-0.125,-0.695,0.086,-0.024,-0.139
-0.18,0.597,0.14,-0.2,0.382,0.318,-0.302,-0.12,0.171,0.245,-0.055,0.292,0.043,0.102,-0.21,-0.594,-0.668,0.015,0.078,-0.151,-0.142,-0.709,0.08,-0.021,-0.16
-0.179,0.6,0.125,-0.196,0.377,0.319,-0.28,-0.12,0.181,0.245,-0.033,0.319,0.055,0.107,-0.193,-0.581,-0.671,0.021,0.094,-0.12,-0.166,-0.722,0.073,-0.018,-0.189
-0.179,0.606,0.11,-0.195,0.374,0.321,-0.258,-0.122,0.194,0.251,-0.017,0.344,0.071,0.108,-0.175,-0.57,-0.669,0.03,0.106,-0.094,-0.189,-0.736,0.066,-0.019,-0.207
