c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
0.021,-0.063,0.123,0.061,-0.22,-0.208,-0.297,0.073,-0.061,-0.457,0.023,-0.128,-0.022,-0.322,-0.055,-0.113,0.031,-0.046,-0.014,-0.104,0.048,0.152,0.041,-0.225,0.117
0.02,-0.074,0.138,0.037,-0.195,-0.2,-0.3,0.061,-0.024,-0.423,0.025,-0.149,-0.041,-0.291,-0.079,-0.137,-0.012,-0.048,0.001,-0.111,0.013,0.121,0.047,-0.222,0.148
0.022,-0.056,0.137,0.011,-0.173,-0.2,-0.308,0.056,-0.003,-0.396,0.005,-0.152,-0.045,-0.261,-0.103,-0.173,-0.041,-0.048,0.019,-0.111,-0.004,0.094,0.054,-0.196,0.171
0.017,-0.034,0.14,-0.007,-0.152,-0.198,-0.318,0.051,0.016,-0.378,-0.018,-0.156,-0.043,-0.236,-0.139,-0.209,-0.058,-0.051,0.038,-0.11,-0.017,0.069,0.059,-0.168,0.192
0.016,-0.017,0.141,-0.026,-0.134,-0.202,-0.323,0.043,0.037,-0.353,-0.037,-0.162,-0.038,-0.2,-0.171,-0.244,-0.075,-0.05,0.053,-0.105,-0.029,0.044,0.061,-0.147,0.211
0.016,0.001,0.144,-0.047,-0.113,-0.201,-0.33,0.035,0.056,-0.326,-0.056,-0.165,-0.036,-0.168,-0.201,-0.279,-0.097,-0.053,0.07,-0.104,-0.043,0.022,0.062,-0.122,0.231
0.017,0.022,0.145,-0.067,-0.097,-0.2,-0.334,0.028,0.074,-0.308,-0.075,-0.171,-0.033,-0.139,-0.23,-0.314,-0.119,-0.053,0.084,-0.1,-0.049,-0.003,0.064,-0.093,0.251
0.018,0.042,0.144,-0.087,-0.074,-0.201,-0.338,0.022,0.09,-0.282,-0.096,-0.169,-0.032,-0.108,-0.263,-0.348,-0.137,-0.056,0.103,-0.095,-0.059,-0.022,0.067,-0.069,0.269
0.017,0.06,0.145,-0.109,-0.055,-0.204,-0.341,0.019,0.107,-0.257,-0.119,-0.166,-0.029,-0.072,-0.297,-0.379,-0.151,-0.062,0.118,-0.091,-0.068,-0.049,0.069,-0.044,0.284
0.015,0.08,0.15,-0.132,-0.034,-0.204,-0.342,0.009,0.119,-0.231,-0.14,-0.16,-0.028,-0.044,-0.329,-0.411,-0.17,-0.062,0.138,-0.084,-0.078,-0.066,0.069,-0.023,0.301
