c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
-0.351,0.273,-0.22,0.005,0.227,-0.077,-0.397,-0.286,0.226,-0.15,-0.107,0.022,-0.205,-0.194,-0.116,-0.102,-0.223,0.233,-0.159,,-0.102,0.05,-0.494,0.227,
-0.376,0.262,-0.214,0.042,0.235,-0.072,-0.406,-0.272,0.186,-0.113,-0.071,-0.013,-0.185,-0.205,-0.102,-0.099,-0.253,0.216,-0.183,,-0.099,0.02,-0.451,0.235,
-0.371,0.26,-0.227,0.046,0.242,-0.059,-0.42,-0.257,0.165,-0.101,-0.065,-0.052,-0.178,-0.221,-0.092,-0.1,-0.262,0.212,-0.192,,-0.1,0.011,-0.435,0.242,
-0.37,0.258,-0.238,0.059,0.252,-0.04,-0.427,-0.239,0.15,-0.091,-0.057,-0.083,-0.155,-0.235,-0.084,-0.117,-0.27,0.21,-0.2,,-0.117,0.006,-0.403,0.252,
-0.378,0.253,-0.24,0.068,0.26,-0.026,-0.444,-0.231,0.137,-0.083,-0.046,-0.115,-0.14,-0.244,-0.065,-0.129,-0.278,0.2,-0.208,,-0.129,-0.01,-0.381,0.26,
-0.377,0.244,-0.246,0.075,0.264,-0.017,-0.457,-0.216,0.115,-0.069,-0.031,-0.149,-0.123,-0.258,-0.05,-0.137,-0.285,0.195,-0.214,,-0.137,-0.02,-0.35,0.264,
-0.369,0.239,-0.253,0.082,0.265,-0.007,-0.465,-0.199,0.098,-0.061,-0.029,-0.185,-0.104,-0.268,-0.039,-0.15,-0.286,0.188,-0.221,,-0.15,-0.029,-0.322,0.265,
-0.364,0.235,-0.259,0.087,0.273,0.009,-0.476,-0.182,0.087,-0.049,-0.019,-0.22,-0.09,-0.275,-0.026,-0.161,-0.288,0.186,-0.229,,-0.161,-0.034,-0.291,0.273,
-0.363,0.22,-0.263,0.092,0.28,0.021,-0.487,-0.164,0.077,-0.038,-0.007,-0.25,-0.062,-0.287,-0.006,-0.177,-0.289,0.182,-0.234,,-0.177,-0.044,-0.264,0.28,
-0.36,0.211,-0.26,0.103,0.28,0.033,-0.498,-0.145,0.06,-0.033,0.001,-0.283,-0.043,-0.294,0.008,-0.191,-0.289,0.176,-0.244,,-0.191,-0.052,-0.23,0.28,
