c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
0.042,-0.087,0.646,0.135,0.492,-0.021,0.06,0.777,-0.177,-0.262,-0.025,0.174,0.889,0.416,-0.367,0.242,-0.101,-0.184,-0.502,0.528,-0.085,0.123,-0.738,-0.185,0.008
0.029,-0.08,0.67,0.165,0.523,-0.049,0.07,0.753,-0.215,-0.193,-0.048,0.151,0.891,0.391,-0.412,0.218,-0.113,-0.16,-0.514,0.539,-0.088,0.12,-0.724,-0.197,-0.071
0.028,-0.091,0.701,0.191,0.54,-0.05,0.059,0.726,-0.235,-0.146,-0.069,0.133,0.89,0.361,-0.445,0.216,-0.131,-0.101,-0.509,0.56,-0.078,0.129,-0.714,-0.173,-0.128
0.025,-0.094,0.724,0.216,0.554,-0.063,0.049,0.695,-0.244,-0.102,-0.077,0.12,0.883,0.333,-0.48,0.204,-0.142,-0.064,-0.496,0.587,-0.076,0.138,-0.702,-0.169,-0.173
0.022,-0.099,0.745,0.239,0.562,-0.069,0.03,0.67,-0.253,-0.055,-0.086,0.107,0.874,0.302,-0.51,0.195,-0.157,-0.024,-0.485,0.606,-0.063,0.14,-0.672,-0.15,-0.227
0.023,-0.102,0.767,0.263,0.571,-0.076,0.018,0.64,-0.27,-0.006,-0.095,0.088,0.866,0.275,-0.539,0.188,-0.172,0.014,-0.478,0.627,-0.055,0.144,-0.648,-0.14,-0.281
0.027,-0.106,0.789,0.287,0.576,-0.08,0.005,0.611,-0.276,0.041,-0.108,0.075,0.853,0.241,-0.571,0.177,-0.18,0.056,-0.467,0.652,-0.043,0.147,-0.622,-0.123,-0.331
0.027,-0.106,0.808,0.311,0.583,-0.085,-0.011,0.577,-0.282,0.085,-0.116,0.061,0.838,0.205,-0.594,0.177,-0.195,0.093,-0.456,0.666,-0.037,0.148,-0.599,-0.112,-0.382
0.032,-0.105,0.823,0.33,0.584,-0.095,-0.021,0.549,-0.292,0.134,-0.12,0.05,0.826,0.167,-0.617,0.172,-0.209,0.128,-0.452,0.682,-0.032,0.151,-0.576,-0.107,-0.43
0.03,-0.107,0.84,0.352,0.587,-0.101,-0.032,0.51,-0.292,0.18,-0.124,0.032,0.805,0.134,-0.638,0.167,-0.222,0.165,-0.437,0.702,-0.022,0.152,-0.542,-0.095,-0.475
0.03,-0.111,0.853,0.368,0.586,-0.106,-0.046,0.47,-0.296,0.228,-0.131,0.02,0.787,0.098,-0.66,0.164,-0.235,0.206,-0.421,0.708,-0.016,0.152,-0.506,-0.084,-0.518
